iter	Passed	Remaining
0	123	123112
1	124	62075
2	125	41705
3	126	31514
4	127	25401
5	128	21335
6	129	18407
7	130	16242
8	132	14551
9	133	13195
10	134	12081
11	135	11156
12	136	10396
13	137	9717
14	139	9134
15	140	8618
16	141	8178
17	142	7786
18	143	7424
19	144	7099
20	145	6802
21	147	6540
22	149	6331
23	149	6099
24	151	5889
25	151	5693
26	152	5513
27	154	5348
28	155	5202
29	156	5063
30	157	4928
31	158	4805
32	159	4685
33	161	4581
34	162	4479
35	163	4379
36	164	4286
37	165	4198
38	167	4128
39	168	4047
40	169	3970
41	170	3893
42	171	3818
43	172	3751
44	173	3682
45	174	3618
46	175	3557
47	176	3499
48	177	3442
49	178	3387
50	179	3336
51	180	3284
52	181	3235
53	181	3187
54	182	3140
55	183	3095
56	184	3058
57	185	3017
58	186	2978
59	187	2940
60	188	2903
61	189	2867
62	190	2832
63	191	2803
64	192	2771
65	193	2742
66	195	2715
67	196	2687
68	197	2665
69	198	2638
70	199	2612
71	200	2587
72	201	2561
73	202	2535
74	203	2515
75	204	2491
76	205	2469
77	206	2446
78	207	2424
79	208	2402
80	210	2384
81	211	2365
82	211	2341
83	213	2322
84	214	2304
85	215	2285
86	216	2268
87	217	2251
88	218	2233
89	219	2216
90	220	2199
91	221	2183
92	222	2168
93	223	2152
94	224	2136
95	225	2121
96	226	2106
97	227	2093
98	228	2081
99	229	2068
100	230	2054
101	231	2040
102	233	2029
103	234	2017
104	235	2007
105	236	1994
106	237	1982
107	238	1970
108	239	1959
109	240	1949
110	242	1941
111	243	1932
112	244	1921
113	245	1911
114	247	1902
115	248	1894
116	249	1882
117	250	1873
118	251	1863
119	252	1854
120	254	1848
121	255	1837
122	256	1827
123	257	1818
124	258	1808
125	259	1799
126	260	1791
127	261	1784
128	262	1775
129	263	1765
130	264	1755
131	265	1746
132	266	1739
133	267	1730
134	269	1724
135	270	1715
136	271	1708
137	272	1704
138	274	1698
139	275	1691
140	276	1685
141	277	1676
142	278	1668
143	279	1662
144	280	1655
145	281	1648
146	282	1640
147	283	1633
148	285	1627
149	286	1621
150	287	1615
151	288	1608
152	289	1602
153	290	1595
154	291	1589
155	292	1583
156	293	1578
157	295	1572
158	296	1566
159	297	1561
160	298	1553
161	299	1548
162	300	1541
163	301	1536
164	302	1530
165	303	1524
166	304	1519
167	305	1513
168	306	1508
169	307	1502
170	308	1497
171	310	1494
172	311	1489
173	312	1485
174	313	1480
175	315	1475
176	316	1471
177	317	1466
178	318	1461
179	319	1456
180	320	1452
181	322	1447
182	323	1445
183	324	1439
184	325	1434
185	326	1429
186	327	1424
187	328	1420
188	329	1415
189	331	1411
190	332	1407
191	333	1402
192	334	1397
193	335	1394
194	336	1389
195	337	1385
196	338	1380
197	339	1376
198	340	1372
199	342	1368
200	343	1364
201	344	1360
202	345	1355
203	346	1351
204	347	1347
205	348	1343
206	349	1338
207	350	1334
208	351	1330
209	352	1326
210	353	1322
211	354	1319
212	356	1315
213	357	1311
214	358	1307
215	359	1303
216	360	1301
217	361	1297
218	362	1293
219	363	1289
220	364	1285
221	365	1281
222	366	1277
223	368	1274
224	368	1270
225	369	1266
226	370	1262
227	371	1258
228	372	1254
229	373	1251
230	374	1247
231	375	1244
232	376	1240
233	377	1236
234	378	1232
235	379	1229
236	380	1226
237	381	1222
238	383	1220
239	384	1216
240	385	1213
241	386	1210
242	387	1206
243	388	1204
244	389	1200
245	390	1197
246	391	1194
247	392	1191
248	394	1188
249	395	1185
250	396	1182
251	397	1180
252	398	1177
253	399	1174
254	400	1170
255	401	1167
256	402	1164
257	403	1161
258	405	1159
259	406	1156
260	407	1152
261	408	1149
262	409	1146
263	410	1144
264	411	1142
265	412	1139
266	413	1136
267	414	1133
268	415	1129
269	416	1126
270	417	1123
271	418	1121
272	419	1118
273	420	1114
274	421	1111
275	422	1108
276	423	1106
277	425	1104
278	426	1101
279	427	1098
280	428	1096
281	429	1093
282	430	1090
283	431	1087
284	432	1085
285	433	1082
286	435	1080
287	436	1078
288	437	1076
289	438	1073
290	439	1071
291	440	1068
292	442	1067
293	443	1065
294	445	1063
295	446	1061
296	447	1058
297	448	1056
298	449	1054
299	450	1051
300	451	1049
301	453	1047
302	454	1045
303	455	1043
304	456	1040
305	457	1038
306	458	1036
307	459	1033
308	461	1031
309	462	1028
310	463	1026
311	464	1023
312	465	1021
313	466	1018
314	467	1015
315	468	1013
316	469	1010
317	470	1008
318	470	1005
319	471	1002
320	472	999
321	473	997
322	474	995
323	475	992
324	476	989
325	477	987
326	478	985
327	479	983
328	481	981
329	481	978
330	483	976
331	484	973
332	485	971
333	486	970
334	487	967
335	488	965
336	489	963
337	490	960
338	491	958
339	493	957
340	494	954
341	495	952
342	495	949
343	497	947
344	498	945
345	499	943
346	500	941
347	501	938
348	502	936
349	503	934
350	503	931
351	505	929
352	506	927
353	507	925
354	508	923
355	508	920
356	509	918
357	510	916
358	512	914
359	513	912
360	514	909
361	515	907
362	516	905
363	517	903
364	518	901
365	519	899
366	520	897
367	521	895
368	522	893
369	523	891
370	525	890
371	525	887
372	527	885
373	528	884
374	529	882
375	530	881
376	531	878
377	532	877
378	534	875
379	535	873
380	536	871
381	537	870
382	539	868
383	540	866
384	541	864
385	542	863
386	543	861
387	545	860
388	546	858
389	547	856
390	549	855
391	550	854
392	551	852
393	552	850
394	553	848
395	555	846
396	556	845
397	557	843
398	559	842
399	560	840
400	561	838
401	562	837
402	563	835
403	564	833
404	566	831
405	566	829
406	568	828
407	569	826
408	570	824
409	571	822
410	572	820
411	573	819
412	575	818
413	576	816
414	577	814
415	578	812
416	580	811
417	581	809
418	582	807
419	583	805
420	584	803
421	585	802
422	587	800
423	588	799
424	589	797
425	590	795
426	591	793
427	592	791
428	593	790
429	594	788
430	596	786
431	596	784
432	597	783
433	599	781
434	600	779
435	601	777
436	602	775
437	603	774
438	604	772
439	605	770
440	606	769
441	607	767
442	608	765
443	609	763
444	610	761
445	612	760
446	613	759
447	614	757
448	615	755
449	616	753
450	617	752
451	619	750
452	620	748
453	621	746
454	622	745
455	623	743
456	624	742
457	625	740
458	626	738
459	627	737
460	629	735
461	630	733
462	631	732
463	632	730
464	633	729
465	634	727
466	636	725
467	637	724
468	638	723
469	639	721
470	640	719
471	641	718
472	643	716
473	644	715
474	645	713
475	647	712
476	648	710
477	650	710
478	651	708
479	652	707
480	653	705
481	655	703
482	656	702
483	657	701
484	659	699
485	660	698
486	661	696
487	662	695
488	663	693
489	665	692
490	666	690
491	667	689
492	668	687
493	669	686
494	670	684
495	672	682
496	673	681
497	675	680
498	676	678
499	677	677
500	678	676
501	680	674
502	681	673
503	682	671
504	683	670
505	684	668
506	685	666
507	686	665
508	688	663
509	689	662
510	690	660
511	691	658
512	692	657
513	693	655
514	694	654
515	695	652
516	696	650
517	697	649
518	698	647
519	700	646
520	701	644
521	702	643
522	703	641
523	704	639
524	705	638
525	706	636
526	707	635
527	708	633
528	709	632
529	710	630
530	712	629
531	713	627
532	714	626
533	715	624
534	716	623
535	718	621
536	719	620
537	720	618
538	721	617
539	722	615
540	723	613
541	724	612
542	725	610
543	726	609
544	727	607
545	728	605
546	729	604
547	731	603
548	732	601
549	733	599
550	734	598
551	735	596
552	736	595
553	737	593
554	738	592
555	739	590
556	740	589
557	741	587
558	742	585
559	744	584
560	745	583
561	746	581
562	747	580
563	748	578
564	750	577
565	751	576
566	752	575
567	753	573
568	755	572
569	756	571
570	758	569
571	759	568
572	760	566
573	761	565
574	762	563
575	764	562
576	765	561
577	766	559
578	767	558
579	769	557
580	770	555
581	771	554
582	772	552
583	773	551
584	775	550
585	776	548
586	777	547
587	778	545
588	779	544
589	781	542
590	782	541
591	783	539
592	784	538
593	785	536
594	786	535
595	787	533
596	788	532
597	789	530
598	790	529
599	791	527
600	792	526
601	793	524
602	794	523
603	795	521
604	796	520
605	797	518
606	798	516
607	799	515
608	800	513
609	801	512
610	802	510
611	803	509
612	804	507
613	805	506
614	807	505
615	808	503
616	809	502
617	810	500
618	811	499
619	812	497
620	813	496
621	814	494
622	815	493
623	816	491
624	817	490
625	818	489
626	819	487
627	820	486
628	821	484
629	822	483
630	823	481
631	824	480
632	826	479
633	827	477
634	828	476
635	829	474
636	830	473
637	832	472
638	832	470
639	833	469
640	834	467
641	835	465
642	836	464
643	838	463
644	838	461
645	839	460
646	840	458
647	841	457
648	842	455
649	843	454
650	845	453
651	846	451
652	847	450
653	847	448
654	848	447
655	850	445
656	851	444
657	852	443
658	853	441
659	854	440
660	855	438
661	856	437
662	858	436
663	859	434
664	860	433
665	861	431
666	862	430
667	863	429
668	864	427
669	865	426
670	866	425
671	867	423
672	868	422
673	870	420
674	871	419
675	872	418
676	873	416
677	874	415
678	875	413
679	876	412
680	877	410
681	878	409
682	879	408
683	880	406
684	881	405
685	882	404
686	883	402
687	884	401
688	885	399
689	886	398
690	888	397
691	889	395
692	890	394
693	891	392
694	892	391
695	893	390
696	894	388
697	895	387
698	896	386
699	897	384
700	898	383
701	899	381
702	900	380
703	901	379
704	902	377
705	903	376
706	904	374
707	905	373
708	906	371
709	907	370
710	908	369
711	909	367
712	910	366
713	911	365
714	912	363
715	913	362
716	914	360
717	915	359
718	916	358
719	917	356
720	918	355
721	919	353
722	920	352
723	921	351
724	922	349
725	923	348
726	924	347
727	925	345
728	926	344
729	927	342
730	928	341
731	929	340
732	930	338
733	931	337
734	932	336
735	934	335
736	935	333
737	936	332
738	938	331
739	939	330
740	940	328
741	942	327
742	943	326
743	944	324
744	946	323
745	947	322
746	948	321
747	949	319
748	950	318
749	952	317
750	953	316
751	955	315
752	956	313
753	958	312
754	959	311
755	960	310
756	961	308
757	962	307
758	964	306
759	965	304
760	966	303
761	967	302
762	968	300
763	969	299
764	970	298
765	972	296
766	973	295
767	974	294
768	975	293
769	976	291
770	978	290
771	979	289
772	980	287
773	981	286
774	982	285
775	983	283
776	984	282
777	985	281
778	986	279
779	987	278
780	989	277
781	990	276
782	991	274
783	992	273
784	993	272
785	994	270
786	995	269
787	996	268
788	998	266
789	999	265
790	1000	264
791	1001	263
792	1002	261
793	1003	260
794	1004	259
795	1005	257
796	1007	256
797	1008	255
798	1009	253
799	1010	252
800	1011	251
801	1012	250
802	1014	248
803	1015	247
804	1016	246
805	1017	244
806	1018	243
807	1019	242
808	1020	241
809	1022	239
810	1023	238
811	1024	237
812	1025	235
813	1026	234
814	1027	233
815	1028	232
816	1030	230
817	1031	229
818	1032	228
819	1033	226
820	1034	225
821	1035	224
822	1036	222
823	1037	221
824	1039	220
825	1040	219
826	1041	217
827	1043	216
828	1044	215
829	1045	214
830	1046	212
831	1048	211
832	1049	210
833	1050	209
834	1052	207
835	1053	206
836	1054	205
837	1055	204
838	1056	202
839	1057	201
840	1059	200
841	1060	198
842	1061	197
843	1062	196
844	1064	195
845	1065	194
846	1067	192
847	1068	191
848	1069	190
849	1070	188
850	1072	187
851	1074	186
852	1075	185
853	1077	184
854	1078	182
855	1079	181
856	1081	180
857	1083	179
858	1085	178
859	1087	177
860	1090	176
861	1092	174
862	1093	173
863	1094	172
864	1096	171
865	1098	169
866	1099	168
867	1101	167
868	1102	166
869	1104	165
870	1105	163
871	1106	162
872	1109	161
873	1110	160
874	1111	158
875	1113	157
876	1114	156
877	1116	155
878	1117	153
879	1119	152
880	1121	151
881	1122	150
882	1123	148
883	1124	147
884	1125	146
885	1127	145
886	1129	143
887	1130	142
888	1131	141
889	1134	140
890	1135	138
891	1137	137
892	1138	136
893	1139	135
894	1141	133
895	1142	132
896	1144	131
897	1146	130
898	1147	128
899	1148	127
900	1149	126
901	1151	125
902	1152	123
903	1153	122
904	1155	121
905	1156	119
906	1157	118
907	1159	117
908	1160	116
909	1161	114
910	1163	113
911	1164	112
912	1165	111
913	1167	109
914	1168	108
915	1169	107
916	1171	105
917	1172	104
918	1173	103
919	1174	102
920	1176	100
921	1178	99
922	1179	98
923	1180	97
924	1181	95
925	1182	94
926	1184	93
927	1185	91
928	1186	90
929	1187	89
930	1190	88
931	1191	86
932	1192	85
933	1194	84
934	1195	83
935	1196	81
936	1198	80
937	1199	79
938	1201	78
939	1202	76
940	1203	75
941	1204	74
942	1206	72
943	1207	71
944	1209	70
945	1210	69
946	1211	67
947	1212	66
948	1213	65
949	1215	63
950	1216	62
951	1217	61
952	1218	60
953	1219	58
954	1220	57
955	1222	56
956	1223	54
957	1224	53
958	1225	52
959	1227	51
960	1228	49
961	1230	48
962	1231	47
963	1232	46
964	1233	44
965	1234	43
966	1236	42
967	1237	40
968	1238	39
969	1239	38
970	1241	37
971	1242	35
972	1243	34
973	1244	33
974	1245	31
975	1246	30
976	1247	29
977	1248	28
978	1249	26
979	1250	25
980	1252	24
981	1253	22
982	1254	21
983	1255	20
984	1256	19
985	1257	17
986	1259	16
987	1260	15
988	1261	14
989	1262	12
990	1263	11
991	1265	10
992	1266	8
993	1267	7
994	1268	6
995	1269	5
996	1270	3
997	1272	2
998	1273	1
999	1274	0
